Inphase,Outphase,Mask
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00002.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00001.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00002.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00004.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00003.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00004.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00006.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00005.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00006.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00008.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00007.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00008.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00010.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00009.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00010.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00012.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00011.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00012.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00014.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00013.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00014.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00016.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00015.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00016.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00018.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00017.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00018.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00020.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00019.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00020.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00022.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00021.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00022.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00024.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00023.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00024.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00026.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00025.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00026.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00028.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00027.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00028.png
1/T1DUAL/DICOM_anon/InPhase/IMG-0004-00030.dcm,1/T1DUAL/DICOM_anon/OutPhase/IMG-0004-00029.dcm,generated_masks/pretrain_1case_fuseunet_r1/1/IMG-0004-00030.png
