Patient_case,Dice,IoU,TP,TN,FP,FN
2,0.8396722285908377,0.7236508935497563,98884,2019898,27266,10496
5,0.7258840743967319,0.5697158789166225,42911,1890760,2711,29698
10,0.5470987688400596,0.37655606389931756,24774,3211009,1501,39516
13,0.8897297523719099,0.8013632305041689,63722,2408803,7598,8197
19,0.9297908279746288,0.8687935520259084,95503,2378394,7449,6974
20,0.9118879154001379,0.8380459405847623,71399,2071347,6604,7194
31,0.7764953312470702,0.6346484415449932,30644,1917795,5014,12627
33,0.8061202041534671,0.6752105253459618,36643,2108419,5013,12613
34,0.7471214930866478,0.5963239763185737,52981,2204914,7300,28565
39,0.8119140398935144,0.6833798791972462,31566,1657745,3735,10890
