Patient_case,Dice,IoU,TP,TN,FP,FN
2,0.8479736555880848,0.736071409912902,98624,2022557,24607,10756
5,0.8258570119862355,0.7033700498295306,53639,1889820,3651,18970
10,0.8312845937043702,0.7112805985327232,48961,3207965,4545,15329
13,0.8924611355658327,0.8058057050862806,64068,2408812,7589,7851
19,0.9244721903683366,0.8595521027809976,97144,2375303,10540,5333
20,0.920086530104737,0.8520002349762087,72518,2071429,6522,6075
31,0.8564890093345378,0.7489993680219086,35555,1918610,4199,7716
33,0.8682421759556493,0.7671625126062527,42599,2107160,6272,6657
34,0.8744801536740119,0.7769566716469372,67603,2206750,5464,13943
39,0.8650805654121343,0.7622396260455961,37179,1655160,6320,5277
